Sex,Age,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
2,2,-0.98660853,16.42339664,0.085451785,14.1473467,14.39787089,14.80134054,15.52807587,16.42339664,17.42745659,18.01820579,18.44139317,19.10623522,19.56410958
2,3,-2.096828937,15.69924188,0.078605255,13.80229888,14.00209476,14.32806133,14.92950329,15.69924188,16.60686761,17.16633643,17.5801877,18.25475381,18.73837743
2,4,-3.018521987,15.29854897,0.078713325,13.53635124,13.71472021,14.00895279,14.56344665,15.29854897,16.20987583,16.80057671,17.25416922,18.02851473,18.61440545
2,5,-3.35007771,15.15188405,0.084300139,13.34252439,13.52091027,13.81725538,14.38345148,15.15188405,16.13843423,16.80197195,17.32657196,18.25738105,18.99615046
2,6,-3.225606516,15.21690296,0.093803033,13.23344678,13.42587042,13.74693776,14.36552155,15.21690296,16.33273474,17.09974172,17.7167845,18.83777954,19.75462234
2,7,-2.926186592,15.45356545,0.105325289,13.21815723,13.43276016,13.79190343,14.48764859,15.45356545,16.73461785,17.6255667,18.34873428,19.67793583,20.7807491
2,8,-2.617192204,15.82699517,0.117158667,13.2996613,13.54050176,13.9444489,14.7300509,15.82699517,17.29205828,18.31717594,19.15261918,20.69525186,21.98126336
2,9,-2.360920527,16.30609316,0.128013515,13.47590046,13.74412656,14.19478013,15.0737831,16.30609316,17.95912092,19.11937316,20.06646519,21.8172543,23.27714304
2,10,-2.171295888,16.86231366,0.137057004,13.7407435,14.03535405,14.5310003,15.49992271,16.86231366,18.69520235,19.98399779,21.03668675,22.98257733,24.60332779
2,11,-2.045235058,17.46906585,0.143868341,14.0845036,14.40290497,14.93913036,15.98919146,17.46906585,19.46462028,20.86984014,22.01828633,24.14141407,25.90867656
2,12,-1.975521156,18.10148804,0.148361495,14.4941525,14.83262428,15.40310619,16.52179463,18.10148804,20.23648228,21.74262677,22.97492622,25.25564304,27.15596389
2,13,-1.954977947,18.73643338,0.150705138,14.95334789,15.30748565,15.90475685,17.07738309,18.73643338,20.98471803,22.57506113,23.87895414,26.298799,28.32185435
2,14,-1.977073595,19.35257209,0.151255713,15.44235082,15.80752854,16.42377582,17.63508894,19.35257209,21.68819441,23.34689045,24.71140708,27.25597392,29.39685635
2,15,-2.034893091,19.9305662,0.150511645,15.93785473,16.30973602,16.93767383,18.17359792,19.9305662,22.33090272,24.04502533,25.46204417,28.12369169,30.3852018
2,16,-2.119156972,20.45325617,0.14909006,16.4127676,16.78787442,17.4217057,18.67121316,20.45325617,22.90219024,24.66372475,26.12945136,28.90980533,31.30462183
2,17,-2.215737645,20.90575839,0.147723315,16.83602739,17.21234472,17.8487761,19.10585083,20.90575839,23.39695789,25.20482218,26.7212455,29.63350259,32.18602887
2,18,-2.303687802,21.27532239,0.14726877,17.17260194,17.55015468,18.18936927,19.45490996,21.27532239,23.81564452,25.67786376,27.25432769,30.32554216,33.07323931
2,19,-2.355677743,21.55082155,0.148723546,17.38384594,17.76515018,18.41158663,19.69500438,21.55082155,24.16377555,26.09993465,27.75501954,31.02880054,34.02300086
2,20,-2.34495843,21.71699934,0.152974718,17.43031075,17.82009046,18.48195582,19.80017572,21.71699934,24.44009565,26.47871966,28.23727135,31.76474311,35.05675093
